id,processor_name,user_rating,value,avg_bench,memory_pts,core_pts,mkt_share,age_months,price
8,AMD Ryzen 5 3600,94,11.0,92,76.3,792,1.16,45,100.0
9,AMD Ryzen 5 5600X,94,11.0,108,84.1,881,1.08,29,153.0
21,AMD Ryzen 7 3700X,89,86.0,94,76.2,900,0.73,45,273.0
25,AMD Ryzen 7 5800X,89,10.0,112,85.9,1085,0.79,29,240.0
35,AMD Ryzen 5 2600X,84,79.0,86,76.4,643,0.2,60,213.0
40,AMD Ryzen 5 7600X,80,11.0,119,82.9,1137,0.05,7,239.0
42,AMD Ryzen 7 7800X3D,78,10.0,120,96.8,1289,0.16,0,434.0
44,AMD Ryzen 5 3400G,78,84.0,78,69.6,550,0.1,46,128.0
45,AMD Ryzen 5 2600,77,81.0,83,76.1,619,0.5,60,183.0
57,AMD Ryzen 5 3600,94,11.0,92,76.3,792,1.16,45,100.0
58,AMD Ryzen 5 5600X,94,11.0,108,84.1,881,1.08,29,153.0
71,AMD Ryzen 7 3700X,89,86.0,94,76.2,900,0.73,45,273.0
75,AMD Ryzen 7 5800X,89,10.0,112,85.9,1085,0.79,29,240.0
85,AMD Ryzen 5 2600X,84,79.0,86,76.4,643,0.2,60,213.0
90,AMD Ryzen 5 7600X,80,11.0,119,82.9,1137,0.05,7,239.0
92,AMD Ryzen 7 7800X3D,78,10.0,120,96.8,1289,0.16,0,434.0
94,AMD Ryzen 5 3400G,78,84.0,78,69.6,550,0.1,46,128.0
95,AMD Ryzen 5 2600,77,81.0,83,76.1,619,0.5,60,183.0
107,AMD Ryzen 5 3600,94,11.0,92,76.3,792,1.16,45,100.0
108,AMD Ryzen 5 5600X,94,11.0,108,84.1,881,1.08,29,153.0
121,AMD Ryzen 7 3700X,89,86.0,94,76.2,900,0.73,45,273.0
125,AMD Ryzen 7 5800X,89,10.0,112,85.9,1085,0.79,29,240.0
135,AMD Ryzen 5 2600X,84,79.0,86,76.4,643,0.2,60,213.0
140,AMD Ryzen 5 7600X,80,11.0,119,82.9,1137,0.05,7,239.0
143,AMD Ryzen 5 3400G,78,84.0,78,69.6,550,0.1,46,128.0
144,AMD Ryzen 7 7800X3D,78,10.0,120,96.8,1289,0.16,0,434.0
145,AMD Ryzen 5 2600,77,81.0,83,76.1,619,0.5,60,183.0
157,AMD Ryzen 5 3600,94,11.0,92,76.3,792,1.16,45,100.0
158,AMD Ryzen 5 5600X,94,11.0,108,84.1,881,1.08,29,153.0
171,AMD Ryzen 7 3700X,89,86.0,94,76.2,900,0.73,45,273.0
175,AMD Ryzen 7 5800X,89,10.0,112,85.9,1085,0.79,29,240.0
185,AMD Ryzen 5 2600X,84,79.0,86,76.4,643,0.2,60,213.0
190,AMD Ryzen 5 7600X,80,11.0,119,82.9,1137,0.05,7,239.0
193,AMD Ryzen 5 3400G,78,84.0,78,69.6,550,0.1,46,128.0
194,AMD Ryzen 7 7800X3D,78,10.0,120,96.8,1289,0.16,0,434.0
195,AMD Ryzen 5 2600,77,81.0,83,76.1,619,0.5,60,183.0
207,AMD Ryzen 5 3600,94,11.0,92,76.3,792,1.16,45,100.0
208,AMD Ryzen 5 5600X,94,11.0,108,84.1,881,1.08,29,153.0
221,AMD Ryzen 7 3700X,89,86.0,94,76.2,900,0.73,45,273.0
225,AMD Ryzen 7 5800X,89,10.0,112,85.9,1085,0.79,29,240.0
235,AMD Ryzen 5 2600X,84,79.0,86,76.4,643,0.2,60,213.0
240,AMD Ryzen 5 7600X,80,11.0,119,82.9,1137,0.05,7,239.0
243,AMD Ryzen 5 3400G,78,84.0,78,69.6,550,0.1,46,128.0
244,AMD Ryzen 7 7800X3D,78,10.0,120,96.8,1289,0.16,0,434.0
245,AMD Ryzen 5 2600,77,81.0,83,76.1,619,0.5,60,183.0
257,AMD Ryzen 5 3600,94,11.0,92,76.3,792,1.16,45,100.0
258,AMD Ryzen 5 5600X,94,11.0,108,84.1,881,1.08,29,153.0
271,AMD Ryzen 7 3700X,89,86.0,94,76.2,900,0.73,45,273.0
275,AMD Ryzen 7 5800X,89,10.0,112,85.9,1085,0.79,29,240.0
285,AMD Ryzen 5 2600X,84,79.0,86,76.4,643,0.2,60,213.0
290,AMD Ryzen 5 7600X,80,11.0,119,82.9,1137,0.05,7,239.0
293,AMD Ryzen 5 3400G,78,84.0,78,69.6,550,0.1,46,128.0
294,AMD Ryzen 7 7800X3D,78,10.0,120,96.8,1289,0.16,0,434.0
295,AMD Ryzen 5 2600,77,81.0,83,76.1,619,0.5,60,183.0
307,AMD Ryzen 5 3600,94,11.0,92,76.3,792,1.16,45,100.0
308,AMD Ryzen 5 5600X,94,11.0,108,84.1,881,1.08,29,153.0
321,AMD Ryzen 7 3700X,89,86.0,94,76.2,900,0.73,45,273.0
325,AMD Ryzen 7 5800X,89,10.0,112,85.9,1085,0.79,29,240.0
335,AMD Ryzen 5 2600X,84,79.0,86,76.4,643,0.2,60,213.0
340,AMD Ryzen 5 7600X,80,11.0,119,82.9,1137,0.05,7,239.0
343,AMD Ryzen 5 3400G,78,84.0,78,69.6,550,0.1,46,128.0
344,AMD Ryzen 7 7800X3D,78,10.0,120,96.8,1289,0.16,0,434.0
345,AMD Ryzen 5 2600,77,81.0,83,76.1,619,0.5,60,183.0
357,AMD Ryzen 5 3600,94,11.0,92,76.3,792,1.16,45,100.0
358,AMD Ryzen 5 5600X,94,11.0,108,84.1,881,1.08,29,153.0
371,AMD Ryzen 7 3700X,89,86.0,94,76.2,900,0.73,45,273.0
375,AMD Ryzen 7 5800X,89,10.0,112,85.9,1085,0.79,29,240.0
385,AMD Ryzen 5 2600X,84,79.0,86,76.4,643,0.2,60,213.0
390,AMD Ryzen 5 7600X,80,11.0,119,82.9,1137,0.05,7,239.0
393,AMD Ryzen 5 3400G,78,84.0,78,69.6,550,0.1,46,128.0
394,AMD Ryzen 7 7800X3D,78,10.0,122,96.6,1296,0.16,0,434.0
395,AMD Ryzen 5 2600,77,81.0,83,76.1,619,0.5,60,183.0
407,AMD Ryzen 5 3600,94,11.0,92,76.3,792,1.16,45,100.0
408,AMD Ryzen 5 5600X,94,11.0,108,84.1,881,1.08,29,153.0
421,AMD Ryzen 7 3700X,89,86.0,94,76.2,900,0.73,45,273.0
425,AMD Ryzen 7 5800X,89,10.0,112,85.9,1085,0.79,29,240.0
435,AMD Ryzen 5 2600X,84,79.0,86,76.4,643,0.2,60,213.0
440,AMD Ryzen 5 7600X,80,11.0,119,82.9,1137,0.05,7,239.0
443,AMD Ryzen 5 3400G,78,84.0,78,69.6,550,0.1,46,128.0
444,AMD Ryzen 7 7800X3D,78,10.0,122,96.6,1298,0.16,0,434.0
445,AMD Ryzen 5 2600,77,81.0,83,76.1,619,0.5,60,183.0
457,AMD Ryzen 5 3600,94,11.0,92,76.3,792,1.16,45,100.0
458,AMD Ryzen 5 5600X,94,11.0,108,84.1,881,1.08,29,153.0
471,AMD Ryzen 7 3700X,89,86.0,94,76.2,900,0.73,45,273.0
475,AMD Ryzen 7 5800X,89,10.0,112,85.9,1085,0.79,29,240.0
485,AMD Ryzen 5 2600X,84,79.0,86,76.4,643,0.2,60,213.0
490,AMD Ryzen 5 7600X,80,11.0,119,82.9,1137,0.05,7,239.0
492,AMD Ryzen 5 3400G,78,84.0,78,69.6,550,0.1,46,128.0
493,AMD Ryzen 7 7800X3D,78,10.0,122,96.6,1298,0.16,0,434.0
495,AMD Ryzen 5 2600,77,81.0,83,76.1,619,0.5,60,183.0
