id,processor_name,user_rating,value,avg_bench,memory_pts,core_pts,mkt_share,age_months,price
1,Intel Core i5-13600K,100,11.0,127,83.9,1457,0.68,6,305.0
2,Intel Core i5-12600K,99,11.0,116,81.1,1219,0.74,18,234.0
3,Intel Core i3-12100F,97,126.0,100,84.1,796,0.2,16,96.0
4,Intel Core i5-12400F,96,11.0,105,82.0,972,1.27,16,161.0
5,Intel Core i7-13700K,95,11.0,131,85.2,1661,1.08,6,400.0
6,Intel Core i9-13900K,95,10.0,134,85.2,1738,1.16,6,550.0
7,Intel Core i5-13600KF,94,122.0,128,84.4,1452,0.67,6,280.0
10,Intel Core i7-11700K,92,10.0,110,87.6,1060,0.66,26,262.0
11,Intel Core i5-12400,92,11.0,105,81.9,973,0.44,16,175.0
12,Intel Core i7-9700K,91,92.0,105,90.9,964,1.45,54,330.0
13,Intel Core i5-11600K,91,11.0,107,88.4,935,0.32,25,186.0
14,Intel Core i5-13400F,90,11.0,109,83.5,1139,0.18,4,205.0
15,Intel Core i5-9600K,90,97.0,103,91.0,688,1.0,54,240.0
16,Intel Core i5-10600K,90,10.0,100,90.5,825,0.33,36,160.0
17,Intel Core i5-11400,90,11.0,101,86.1,852,0.36,25,133.0
18,Intel Core i7-12700K,90,11.0,123,81.7,1407,1.14,18,280.0
19,Intel Core i5-11400F,90,11.0,101,86.7,847,0.77,25,130.0
20,Intel Core i3-12100,90,11.0,99,82.7,800,0.05,16,132.0
22,Intel Core i3-10100,89,10.0,86,85.3,596,0.19,36,110.0
23,Intel Core i7-10700K,89,98.0,104,91.1,969,0.81,36,260.0
24,Intel Core i5-10400F,89,11.0,92,89.6,715,1.3,36,103.0
26,Intel Core i3-10100F,89,11.0,87,87.7,588,0.31,30,66.0
27,Intel Core i5-10600KF,88,10.0,100,90.7,818,0.18,33,176.0
29,Intel Core i3-13100F,86,11.0,102,83.2,832,0.02,4,130.0
30,Intel Core i3-9100F,86,10.0,86,88.0,423,0.4,49,120.0
31,Intel Core i5-9400F,86,10.0,91,87.8,589,1.33,51,128.0
32,Intel Core i5-10400,86,10.0,91,86.6,722,0.63,36,125.0
33,Intel Core i9-9900K,85,93.0,104,93.1,981,1.17,54,330.0
34,Intel Core i7-7700K,84,82.0,92,89.9,634,1.09,76,299.0
36,Intel Core i5-13500,83,11.0,116,84.3,1293,0.12,4,248.0
37,Intel Core i9-12900K,83,10.0,124,80.8,1516,0.67,18,396.0
38,Intel Core i5-9600KF,82,10.0,102,91.4,686,0.28,48,175.0
39,Intel Core i7-8700K,81,88.0,100,90.1,770,1.41,67,281.0
41,Intel Core i7-6700K,78,85.0,90,88.6,597,0.96,93,223.0
43,Intel Core i5-8600K,78,91.0,101,90.1,656,0.48,67,265.0
46,Intel Core i7-2600K,75,85.0,83,87.0,424,0.23,148,140.0
47,Intel Core i9-11900K,75,99.0,112,87.8,1105,0.42,25,313.0
49,Intel Core i5-6600K,74,86.0,85,83.3,373,0.48,93,143.0
50,Intel Core i5-7600K,74,87.0,89,85.4,403,0.31,76,166.0
51,Intel Core i5-13600K,100,11.0,127,83.9,1457,0.68,6,305.0
52,Intel Core i5-12600K,99,11.0,116,81.1,1219,0.74,18,234.0
53,Intel Core i3-12100F,97,126.0,100,84.1,796,0.2,16,96.0
54,Intel Core i5-12400F,96,11.0,105,82.0,972,1.27,16,161.0
55,Intel Core i7-13700K,95,11.0,131,85.2,1661,1.08,6,400.0
56,Intel Core i9-13900K,95,10.0,134,85.2,1738,1.16,6,550.0
59,Intel Core i5-13600KF,94,122.0,128,84.4,1452,0.67,6,280.0
60,Intel Core i7-11700K,92,10.0,110,87.6,1060,0.66,26,262.0
61,Intel Core i5-12400,92,11.0,105,81.9,973,0.44,16,175.0
62,Intel Core i7-9700K,91,92.0,105,90.9,964,1.45,54,330.0
63,Intel Core i5-11600K,91,11.0,107,88.4,935,0.32,25,186.0
